zip_code,geo_id_v4
90630,8535db23e2d4b6d2c435c347f373f23c
90680,0e61b2fbc91286e3b2021180c289c52c
90720,a96a922202f891c2083d2202ec6c24ca
92603,29021179ebe50df6dde9cbae356d906a
92604,faa1267732c1c0d5d1ecac4a884b29e9
92606,4ede52250ec99e8aafb708f61f381637
92612,8cb8094c36d588777dfee40f3cb7283e
92614,6c22c0e165f3394547fff3c3d0f74406
92618,629ae4d613094c8cba153b6f6a2bb24d
92625,cd505e512503c379e20212c1b593b5c4
92626,0455e54a4e95694ba4af2ba07d1fd044
92627,bc7a74687a49ea166906bc1a4c078b5d
92660,65b799a2345a5e3404f0bf0d11371150
92662,48add43302803a1f93045387897ae645
92683,0595bad553b23fb2d28d4000eff86b31
92701,1f66e5d541e854989385c567b2e15b61
92703,c090adda53c40d0d28932c606be6eef0
92704,d19efa73592a47bad0a9c5fa1a67de0d
92705,785229e74594a72701653ca643a93fa1
92706,59089a01c5323a744e44e7da0aec9edd
92707,396762a7342e20c76eef4fec762e3b2d
92782,e3df42bc136601c16d4cb8b76e2302ef
92801,f67f1070f260f1cb4ccdba31b71271d5
92802,e3f255df4c2492afa48d9f02d2f92de6
92804,f6d10728b0fd87a169c4f88a057ae9ad
92805,ff6eec3c01871377286ae9725f5d9ed0
92806,12eada0ac42939f1de017b670ac3093d
92831,3f0b5ba62ec70eb046de2e6494a3bf51
92832,50f26cb2a45145e29948cc25e2874f73
92833,87cf236385787bf15ddb0d5cf4006b03
92840,9d51cf36d80b0477c987f6fd9518abe7
92841,a6e7dbc9f7f4bf6636040b5fa558cc3a
92866,870997f2abbea2942d0e9ee44e6a3fbb
92868,d1e2d52b6b69272b9459aead81c1bf97
92869,ae066d9c66da3ef9fd5232281021211c
92870,caf5ed84f3b920084630826a4dbc2ef8
