HouseNumber,Street,StreetSuffix,City,State,Zip,StreetName,Address,StateName,Zip4,AddressType,RBDI,Active,Fips,County,ResultCode,MAK
100,Ladera Vista,Dr,Fullerton,CA,92831,,100 Ladera Vista Dr,California,4222.0,Street,Residential,Yes,6059,orange                   ,AS01,1422721991
100,Lincoln,Ave,Fullerton,CA,92831,,100 S Lincoln Ave,California,4563.0,Highrise,Residential,Yes,6059,orange                   ,"AE09,AS02,AS17",1326209299
100,Montague,Ave,Fullerton,CA,92831,,100 N Montague Ave,California,3921.0,Street,Residential,Yes,6059,orange                   ,AS01,6676967452
1000,Oak,Gln,Irvine,CA,92618,,1000 Oak Gln,California,4712.0,Street,Residential,Yes,6059,orange                   ,AS01,9071615712
1000,Solvay Aisle,,Irvine,CA,92606,,1000 Solvay Aisle,California,838.0,Street,Residential,Yes,6059,orange                   ,AS01,5623094101
100,Acamar,,Irvine,CA,92618,,100 Acamar,California,1054.0,Street,Residential,Yes,6059,orange                   ,AS01,3527270912
100,Agostino,,Irvine,CA,92614,,100 Agostino,California,8418.0,Street,Residential,Yes,6059,orange                   ,AS01,1913928987
100,Aims,,Irvine,CA,92618,,100 Aims,California,826.0,Street,Residential,Yes,6059,orange                   ,AS01,2990578942
100,Alicante Aisle,,Irvine,CA,92614,,100 Alicante Aisle,California,5932.0,Street,Residential,Yes,6059,orange                   ,AS01,5250588966
100,Allusion,,Irvine,CA,92618,,100 Allusion,California,1795.0,Street,Residential,Yes,6059,orange                   ,AS01,9001812824
100,Almador,,Irvine,CA,92614,,100 Almador,California,8405.0,Street,Residential,Yes,6059,orange                   ,"AS01,AS16",5914489862
100,Ambiance,,Irvine,CA,92603,,100 Ambiance,California,4225.0,Street,Residential,Yes,6059,orange                   ,AS01,4141115908
100,Annuals,,Irvine,CA,92618,,100 Annuals,California,877.0,Street,Residential,Yes,6059,orange                   ,AS01,1774596483
100,Anthem,,Irvine,CA,92618,,100 Anthem,California,1301.0,Street,Residential,Yes,6059,orange                   ,AS01,8575158284
100,Aquarius,,Irvine,CA,92618,,100 Aquarius,California,1338.0,Street,Residential,Yes,6059,orange                   ,AS01,9363302728
100,Aspect,,Irvine,CA,92618,,100 Aspect,California,1428.0,Street,Residential,Yes,6059,orange                   ,AS01,3668115596
100,Barrington,,Irvine,CA,92618,,100 Barrington,California,841.0,Street,Residential,Yes,6059,orange                   ,AS01,3728112666
100,Bellatrix,,Irvine,CA,92618,,100 Bellatrix,California,1727.0,Street,Residential,Yes,6059,orange                   ,AS01,8621896975
100,Berkeley,,Irvine,CA,92612,,100 Berkeley,California,4615.0,Street,Residential,Yes,6059,orange                   ,AS01,2547083960
100,Bianco,,Irvine,CA,92618,,100 Bianco,California,1112.0,Street,Residential,Yes,6059,orange                   ,AS01,3188389340
100,Big Oak,,Irvine,CA,92618,,100 Big Oak,California,838.0,Street,Residential,Yes,6059,orange                   ,AS01,5447329645
100,Blaze,,Irvine,CA,92618,,100 Blaze,California,1507.0,Street,Residential,Yes,6059,orange                   ,AS01,3723141745
100,Boda,,Irvine,CA,92618,,100 Boda,California,831.0,Street,Residential,Yes,6059,orange                   ,AS01,8247745712
100,Borrego,,Irvine,CA,92618,,100 Borrego,California,8887.0,Street,Residential,Yes,6059,orange                   ,AS01,5340930015
100,Bottlebrush,,Irvine,CA,92603,,100 Bottlebrush,California,687.0,Street,Residential,Yes,6059,orange                   ,AS01,2406268953
100,Briarberry,,Irvine,CA,92618,,100 Briarberry,California,840.0,Street,Residential,Yes,6059,orange                   ,AS01,4122489225
100,Briarwood,,Irvine,CA,92604,,100 Briarwood,California,3752.0,Street,Residential,Yes,6059,orange                   ,AS01,3682038534
100,Bright Star,,Irvine,CA,92618,,100 Bright Star,California,3553.0,Street,Residential,Yes,6059,orange                   ,AS01,8924210967
100,Brindisi,,Irvine,CA,92618,,100 Brindisi,California,1113.0,Street,Residential,Yes,6059,orange                   ,AS01,3357189502
100,Canyon,Crk,Irvine,CA,92603,,100 Canyon Crk,California,422.0,Street,Residential,Yes,6059,orange                   ,AS01,1139113029
100,Canyon Retreat,,Irvine,CA,92618,,100 Canyon Retreat,California,4813.0,Street,Residential,Yes,6059,orange                   ,AS01,5846651338
100,Capeberry,,Irvine,CA,92603,,100 Capeberry,California,4221.0,Street,Residential,Yes,6059,orange                   ,AS01,6111608789
100,Capricorn,,Irvine,CA,92618,,100 Capricorn,California,1186.0,Street,Residential,Yes,6059,orange                   ,AS01,5467717622
100,Caster,,Irvine,CA,92618,,100 Caster,California,829.0,Street,Residential,Yes,6059,orange                   ,AS01,7276511755
100,Catalonia,,Irvine,CA,92618,,100 Catalonia,California,8882.0,Street,Residential,Yes,6059,orange                   ,AS01,1486931145
100,Chant,,Irvine,CA,92618,,100 Chant,California,1427.0,Street,Residential,Yes,6059,orange                   ,AS01,5465205682
100,Chorus,,Irvine,CA,92618,,100 Chorus,California,1415.0,Street,Residential,Yes,6059,orange                   ,AS01,4755949114
100,Chronology,,Irvine,CA,92618,,100 Chronology,California,1339.0,Street,Residential,Yes,6059,orange                   ,AS01,5686750861
100,Cipresso,,Irvine,CA,92618,,100 Cipresso,California,1148.0,Street,Residential,Yes,6059,orange                   ,AS01,3350313806
100,Citysquare,,Irvine,CA,92614,,100 Citysquare,California,171.0,Street,Residential,Yes,6059,orange                   ,AS01,8658114499
100,Clearbrook,,Irvine,CA,92614,,100 Clearbrook,California,7984.0,Street,Residential,Yes,6059,orange                   ,AS01,8930194011
100,Copeland,,Irvine,CA,92618,,100 Copeland,California,871.0,Street,Residential,Yes,6059,orange                   ,AS01,1219512405
100,Coral Rose,,Irvine,CA,92603,,100 Coral Rose,California,101.0,Street,Residential,Yes,6059,orange                   ,AS01,4419437026
100,Coralwood,,Irvine,CA,92618,,100 Coralwood,California,2248.0,Street,Residential,Yes,6059,orange                   ,AS01,8741043750
100,Costero Aisle,,Irvine,CA,92614,,100 Costero Aisle,California,5945.0,Street,Residential,Yes,6059,orange                   ,AS01,1835420075
100,Cruiser,,Irvine,CA,92618,,100 Cruiser,California,832.0,Street,Residential,Yes,6059,orange                   ,AS01,6036231387
100,Culture,,Irvine,CA,92618,,100 Culture,California,1466.0,Street,Residential,Yes,6059,orange                   ,AS01,8756412601
100,Danbury,Ln,Irvine,CA,92618,,100 Danbury Ln,California,3983.0,Street,Residential,Yes,6059,orange                   ,AS01,5101409684
100,Deerfield,Ave,Irvine,CA,92606,,100 Deerfield Ave,California,7618.0,Street,Residential,Yes,6059,orange                   ,AS01,1649129727
100,Derailer,,Irvine,CA,92618,,100 Derailer,California,1036.0,Street,Residential,Yes,6059,orange                   ,AS01,6653083513
